City,Has Table booking,Has Online delivery,Aggregate rating,Rating text
Makati City,Yes,No,4.8,Excellent
Makati City,Yes,No,4.5,Excellent
Mandaluyong City,Yes,No,4.4,Very Good
Mandaluyong City,No,No,4.9,Excellent
Mandaluyong City,Yes,No,4.8,Excellent
Mandaluyong City,No,No,4.4,Very Good
Pasay City,Yes,No,4,Very Good
Pasay City,Yes,No,4.2,Very Good
Pasay City,Yes,No,4.9,Excellent
Pasig City,Yes,No,4.8,Excellent
Pasig City,No,No,4.9,Excellent
Pasig City,Yes,No,4.2,Very Good
Quezon City,No,No,4.8,Excellent
San Juan City,Yes,No,4.2,Very Good
San Juan City,No,No,4.3,Very Good
Santa Rosa,No,No,3.6,Good
Santa Rosa,No,No,4,Very Good
Tagaytay City,Yes,No,4.5,Excellent
Taguig City,No,No,4.5,Excellent
Taguig City,Yes,No,4.4,Very Good
Taguig City,Yes,No,4.7,Excellent
Taguig City,Yes,No,4.5,Excellent
Brasí_lia,No,No,3,Average
Brasí_lia,No,No,3.8,Good
Brasí_lia,No,No,3.7,Good
Brasí_lia,No,No,3.8,Good
Brasí_lia,No,No,3.2,Average
Brasí_lia,No,No,3.1,Average
Brasí_lia,No,No,3.7,Good
Brasí_lia,No,No,3.7,Good
Brasí_lia,No,No,0,Not rated
Brasí_lia,No,No,4.1,Very Good
Brasí_lia,No,No,3.1,Average
Brasí_lia,No,No,3.6,Good
Brasí_lia,No,No,4.3,Very Good
Brasí_lia,No,No,4.2,Very Good
Brasí_lia,No,No,3.6,Good
Brasí_lia,No,No,4,Very Good
Brasí_lia,No,No,3.2,Average
Brasí_lia,No,No,4.9,Excellent
Brasí_lia,No,No,3.3,Average
Brasí_lia,No,No,3.6,Good
Rio de Janeiro,No,No,4,Very Good
Rio de Janeiro,No,No,4.8,Excellent
Rio de Janeiro,No,No,4.7,Excellent
Rio de Janeiro,No,No,4.5,Excellent
Rio de Janeiro,No,No,4.2,Very Good
Rio de Janeiro,No,No,4.8,Excellent
Rio de Janeiro,No,No,4.9,Excellent
Rio de Janeiro,No,No,4.6,Excellent
Rio de Janeiro,No,No,4.9,Excellent
Rio de Janeiro,No,No,4.6,Excellent
Rio de Janeiro,No,No,4.3,Very Good
Rio de Janeiro,No,No,4,Very Good
Rio de Janeiro,No,No,4.6,Excellent
Rio de Janeiro,No,No,4.4,Very Good
Rio de Janeiro,No,No,4.2,Very Good
Rio de Janeiro,No,No,4.2,Very Good
Rio de Janeiro,No,No,0,Not rated
Rio de Janeiro,No,No,4.7,Excellent
Rio de Janeiro,No,No,4.6,Excellent
Rio de Janeiro,No,No,4.3,Very Good
Sí£o Paulo,No,No,4.5,Excellent
Sí£o Paulo,No,No,4.4,Very Good
Sí£o Paulo,No,No,3.1,Average
Sí£o Paulo,No,No,4.1,Very Good
Sí£o Paulo,No,No,4.8,Excellent
Sí£o Paulo,No,No,4.6,Excellent
Sí£o Paulo,No,No,3.9,Good
Sí£o Paulo,No,No,0,Not rated
Sí£o Paulo,No,No,3.4,Average
Sí£o Paulo,No,No,3.5,Good
Sí£o Paulo,No,No,4.3,Very Good
Sí£o Paulo,No,No,3.9,Good
Sí£o Paulo,No,No,4.3,Very Good
Sí£o Paulo,No,No,4.3,Very Good
Sí£o Paulo,No,No,4.4,Very Good
Sí£o Paulo,No,No,0,Not rated
Sí£o Paulo,No,No,0,Not rated
